ID,Pytanie,Odpowiedź
1,"Co to jest polimorfizm i jakie są jego zalety?""","Polimorfizm to zdolność obiektów różnych klas do odpowiedzi na te same wiadomości (metody) w sposób specyficzny dla danej klasy. Zalety polimorfizmu obejmują elastyczność kodu, łatwość rozbudowy i utrzymania, oraz abstrakcję."
2,Jakie są różnice między interfejsami a klasami abstrakcyjnymi w Javie?,"Interfejsy są całkowicie abstrakcyjne i mogą zawierać tylko deklaracje metod (przed Javą 8) i stałe. Od Javy 8, interfejsy mogą również zawierać metody domyślne i statyczne. Klasy abstrakcyjne mogą zawierać zarówno metody abstrakcyjne, jak i konkretne, oraz zmienne. Interfejsy są implementowane przez klasy, podczas gdy klasy abstrakcyjne są rozszerzane."
3,Co to jest Dependency Injection (wstrzykiwanie zależności) i jakie są jego zalety?,"Wstrzykiwanie zależności to technika projektowania, która pozwala na przekazywanie zależności obiektów z zewnątrz, zamiast tworzyć je wewnątrz obiektu. Zalety wstrzykiwania zależności obejmują modularność, łatwość testowania, odseparowanie odpowiedzialności i lepsze zarządzanie zasobami."
4,Jakie są różnice między ArrayList a LinkedList w Java Collections Framework?,"ArrayList to dynamiczna tablica, która zapewnia szybki dostęp do elementów (O(1)), ale wolniejsze operacje dodawania/usuwania na początku i środku listy (O(n)). LinkedList to lista dwukierunkowa, która ma wolniejszy dostęp do elementów (O(n)), ale szybsze operacje dodawania/ usuwania na początku, środku i końcu listy (O(1)). ArrayList jest preferowany, gdy potrzebny jest częsty dostęp do elementów, podczas gdy LinkedList jest preferowany, gdy operacje dodawania/ usuwania są ważniejsze."
5,Jakie są różnice między RESTful a SOAP Web Services?,"ściśle określony i może obsługiwać transakcje oraz operacje związane z niezawodnością. RESTful jest zwykle preferowany ze względu na jego prostotę i wydajność, podczas gdy SOAP może być stosowany w bardziej złożonych i formalnych scenariuszach."
6,Jak obsłużyć wyjątek w Javie?,"Wyjątki w Javie można obsłużyć, używając bloków try-catch-finally. Blok try zawiera kod, który może generować wyjątek, blok catch przechwytuje wyjątek i wykonuje odpowiedni kod obsługi błędu, a blok finally zawiera kod, który zostanie wykonany niezależnie od tego, czy wyjątek został zgłoszony, czy nie."
7,Jak zaimplementować wielowątkowość w Javie?,"W Javie wielowątkowość można zaimplementować na dwa sposoby: rozszerzając klasę Thread lub implementując interfejs Runnable. W obu przypadkach należy zdefiniować metodę run() zawierającą kod, który ma zostać wykonany w wątku. Wątek można uruchomić, wywołując metodę start() na obiekcie klasy Thread."
8,Co to jest Spring Boot i jakie są jego zalety?,"Spring Boot to framework oparty na Spring, który ułatwia tworzenie aplikacji opartych na Spring poprzez dostarczenie domyślnych konfiguracji i ustawień. Zalety Spring Boot obejmują szybki czas rozwoju, prostotę konfiguracji, wbudowane narzędzia do zarządzania aplikacją i wsparcie dla mikrousług."
9,Jakie są różnice między metodami HTTP GET i POST?,"GET to metoda HTTP używana do żądania danych z określonego zasobu. GET jest bezpieczne, idempotentne i można je łatwo przechwytywać. POST to metoda HTTP używana do przesyłania danych do serwera w celu utworzenia nowego zasobu. POST nie jest ani bezpieczne, ani idempotentne, ale może przesyłać większe ilości danych i jest mniej podatne na przechwytywanie."
10,W jaki sposób można zabezpieczyć aplikację opartą na Spring?,"Aplikację opartą na Spring można zabezpieczyć, korzystając z Spring Security - modułu dedykowanego do obsługi autentykacji, autoryzacji i ochrony przed atakami. Spring Security pozwala na konfigurację uwierzytelnienia opartego na formularzach, uwierzytelnianie z wykorzystaniem serwisów zewnętrznych (OAuth2, SSO) oraz definiowanie reguł dostępu do zasobów na podstawie ról użytkowników."
11,Jakie są różnice między równoczesnością a wielowątkowością?,"Równoczesność odnosi się do zdolności systemu do obsługi wielu zadań jednocześnie, ale niekoniecznie równocześnie. Wielowątkowość to szczególny przypadek równoczesności, w którym wiele zadań jest obsługiwanych przez wiele wątków w obrębie jednego procesu. Wielowątkowość umożliwia wykonywanie zadań równocześnie w przypadku systemów wieloprocesorowych."
12,Jakie są zalety stosowania Hibernate jako frameworka ORM?,"Hibernate to popularny framework ORM dla Javy, który ułatwia mapowanie obiektów na bazy danych relacyjne. Zalety Hibernate obejmują abstrakcję od konkretnego dialektu bazy danych, wydajność poprzez cacheowanie, ułatwienie implementacji warstwy dostępu do danych, wsparcie dla transakcji i łatwość integracji z innymi technologiami, takimi jak Spring."
13,W jaki sposób można zoptymalizować wydajność zapytań w bazie danych SQL?,"Oto kilka sposobów optymalizacji wydajności zapytań SQL:Korzystanie z indeksów, aby przyspieszyć operacje wyszukiwaniaUnikanie niepotrzebnych kartezjańskich iloczynów w zapytaniachOgraniczanie ilości przetwarzanych danych poprzez stosowanie klauzul WHERE i LIMITKorzystanie z zapytań opartych na JOIN, zamiast subzapytań, gdy to możliweStosowanie optymalizacji na poziomie bazy danych, takich jak cacheowanie wyników zapytań"
14,Jakie są podstawowe zasady architektury RESTful?,"Podstawowe zasady architektury RESTful obejmują:
Bezstanowość: Każde żądanie od klienta musi zawierać wszystkie informacje potrzebne do obsługi żądania. Serwer nie powinien przechowywać informacji o stanie między żądaniami.
Cacheowanie: Odpowiedzi serwera mogą być oznaczone jako możliwe do buforowania lub nie.
Klient-Serwer: Architektura opiera się na roli klienta i serwera, które komunikują się ze sobą poprzez protokół HTTP.
Jednolity interfejs: RESTful API powinno być konsekwentne i stosować się do konwencji dotyczących metod HTTP, ścieżek zasobów i formatów danych.
Warstwowy system: Architektura może być podzielona na warstwy, takie jak warstwa prezentacji, logiki biznesowej i dostępu do danych."
15, Jakie są różnice między podejściem synchronicznym a asynchronicznym w programowaniu?," W podejściu synchronicznym, wywołanie funkcji blokuje bieżący wątek i czeka na zakończenie operacji przed kontynuowaniem. W podejściu asynchronicznym, wywołanie funkcji pozwala na kontynuowanie działania bieżącego wątku, a wynik operacji jest przetwarzany później, np. poprzez callback, Promise lub async/await. Podejście asynchroniczne jest szczególnie przydatne w przypadku operacji o długim czasie wykonywania, takich jak I/O czy żądania sieciowe, które mogłyby zablokować wątek i utrudnić obsługę innych zadań."
16, Co to są media queries w CSS i jakie są ich zastosowania?,"Media queries to reguły CSS, które pozwalają na stosowanie różnych stylów w zależności od właściwości urządzenia, na którym wyświetlana jest strona (np. szerokości ekranu, rozdzielczości, orientacji). Media queries są używane głównie do tworzenia responsywnych stron internetowych, które dostosowują się do różnych rozmiarów ekranów i urządzeń."
17,Co to jest autoryzacja i autentykacja w kontekście zabezpieczania aplikacji?,"Autentykacja to proces weryfikacji tożsamości użytkownika na podstawie dostarczonych poświadczeń, takich jak nazwa użytkownika i hasło. Autoryzacja to proces określania, jakie zasoby i operacje są dostępne dla zautentykowanego użytkownika. Autoryzacja opiera się na rolach i uprawnieniach przypisanych użytkownikowi."
